name;ua;en;ru;pl;by;de;cz;pt
main_settings_menu;Ви у головному меню.;You are in the main menu.;Вы находитесь в главном меню.;Jesteś w menu głównym.;Вы знаходзіцеся ў галоўным меню.;Sie sind im Hauptmenü.;Placeholder;Você está no menu principal.
error_main_settings_menu;У вас недостатні права для доступу до цього меню.;You do not have enough permissions to access this menu.;У вас недостаточно прав для доступа к этому меню.;Nie masz wystarczających uprawnień, aby uzyskać dostęp do tego menu.;У вас недастаткова праў для доступу да гэтага меню.;Sie haben nicht genügend Rechte, um auf dieses Menü zuzugreifen.;Placeholder;Você não tem permissão suficiente para acessar este menu.
delete_button_menu;Налаштуйте кнопку видалення та/або оберіть категорію людей (лише для групових чатів), які зможуть видаляти повідомлення від боту:;Configure the delete-button and/or select the category of people (for group chats only) who can delete messages from the bot:;Настройте кнопку удаления и/или выберите категорию людей (только для групповых чатов), которые смогут удалять сообщения от бота:;Skonfiguruj przycisk usunięcia i/lub wybierz kategorię osób (tylko dla czatów grupowych), które mogą usuwać wiadomości bota:;Наладзьце кнопку выдалення і/ці выберыце катэгорыю людзей, якія змогуць выдаляць паведамленні ад бота.;Passen Sie die Löschtaste an und/oder wählen Sie eine Kategorie von Personen aus (nur bei Gruppenchats), die Nachrichten vom Bot löschen können:;Placeholder;Configure o botão de deletar e/ou selecione a categoria da pessoa (somente para grupos) que podem deletar as mensagens do bot:
lang_menu;Оберіть одну із мов, вона буде використовуватись як мова інтрфейсу для бота та не впливатиме на розпізнавання та конвертування валют:;Choose one of the languages, it will be used as the language of the bot's interface and will not affect currency recognition and converting:;Выберите один из языков, он будет использоваться как язык интерфейса для бота и не будет влиять на распознавание и конвертирование валют:;Wybierz jeden z języków, będzie on używany jako język interfejsu bota i nie będzie miał wpływu na rozpoznawanie i przeliczanie waluty:;Выберыце адну з моў, яна будзе выкарыстоўвацца ў якасці мовы інтэрфейса бота і не будзе ўплываць на распазнаванне і канверсаванне валют.;Wählen Sie eine der Sprachen aus. Diese wird dann als Sprache für die Benutzeroberfläche des Bots verwendet und hat keinen Einfluss auf die Währungserkennung und -umrechnung:;Placeholder;Selecione uma das línguas, ela será utilizada como a língua da interface do bot e não irá afetar o reconhecimento e conversão de moedas:
mes_view_menu;Ви у меню налаштування зовнішнього вигляду повідомлення. Можете увімкнути чи вимкнути прапори біля чисел. Можете увімкнути чи вимкнути символи валют біля чисел.;You are in the menu for customizing the view of the message. You can turn on or off flags next to numbers. You can turn on or off currency symbols next to numbers.;Вы в меню настройки внешнего вида сообщения. Можете включить или выключить флаги возле чисел. Можете включить или выключить символы валют возле чисел.;Jesteś w menu dostosowywania wyglądu wiadomości. Możesz włączyć lub wyłączyć flagi dla liczb. Możesz włączyć lub wyłączyć symbole walut dla liczb.;Вы ў меню настройкі знешняга выгляду паведамлення. Можаце ўключыць ці выключыць сцягі каля лікаў. Можаце ўключыць ці выключыць сімвалы валют каля лікаў.;Sie befinden sich im Menü zum Anpassen des Erscheinungsbilds der Nachricht. Sie können die Flaggen neben den Zahlen ein- oder ausschalten. Sie können die Währungssymbole neben den Zahlen ein- oder ausschalten.;Placeholder;Você está no menu para customizar a visualização de mensagens. Você pode ativar ou desativar as bandeiras ao lado dos números. Você pode ativar ou desativar o símbolo da moeda ao lado dos números.
edit_menu;Оберіть групу людей, які зможуть редагувати налаштування боту. Пам\'ятайте, що неможливо налаштувати доступ вище, ніж ваш рівень. Наприклад, адміністратор не зможе виставити налаштування "тільки для творця".;Select a group of people who can edit the bot settings. Remember that you cannot set access higher than your level. For example, the administrator will not be able to set the "creator only" setting.;Выберите группу людей, которые смогут редактировать настройки бота. Помните, что невозможно настроить доступ выше, чем ваш уровень. Например, администратор не сможет выставить настройки "только для создателя".;Wybierz grupę osób, które mogą edytować ustawienia bota. Pamiętaj, że nie ma możliwości ustawienia dostępu powyżej Twojego poziomu. Na przykład, administrator nie będzie mógł aktywować ustawienie „tylko dla twórcy”.;Выберыце групу людзей, якія змогуць рэдагаваць настройкі бота. Памятайце, што немагчыма наладзіць доступ вышэй, чым ваш узровень. Напрыклад, адміністратар не зможа выставіць настройкі “толькі для стваральніка”.;Wählen Sie eine Gruppe von Personen aus, die die Einstellungen des Bots bearbeiten können. Denken Sie daran, dass es nicht möglich ist, den Zugriff auf eine höhere Ebene als Ihre eigene festzulegen. Ein Administrator kann zum Beispiel nicht die Einstellungen "nur Inhaber" festlegen.;Placeholder;Selecione um grupo de pessoas que poderão editar as configurações. Lembre-se que você não poderá dar um acesso maior que o seu. Por exemplo, um admin não poderá mexer em configurações que têm permissão "apenas criador".
currencies_mainmenu;Ви у меню налаштування валют, у які буде виконуватись конвертація. Будь ласка, оберіть необхідний пункт:;You are in the setup menu where you can select the currencies to convert.;Вы в меню настройки валют, в которые будет выполняться конвертация. Пожалуйста, выберите необходимый пункт:;Znajdujesz się w menu do ustawiania walut, na które będzie dokonywane przeliczanie. Prosimy wybrać opcję:;Вы ў меню настройкі валют, у якія будзе выконвацца канверсаванне. Калі ласка, выберыце неабходны пункт:;Sie befinden sich im Menü zur Einstellung der Währungen, in die umgerechnet werden soll. Bitte wählen Sie den gewünschten Punkt aus:;Placeholder;Você está no menu de configuração onde poderá selecionar quais moedas deseja converter.
crypto_mainmenu;Налаштуйте криптовалюти для конвертації:;Configure cryptocurrencies for converting:;Настройте криптовалюты для конвертации:;Skonfiguruj kryptowaluty do przeliczania:;Наладзьце крыптавалюты для канверсавання:;Richten Sie Kryptowährungen für die Umrechnung ein:;Placeholder;Configure quais criptomoedas você deseja que sejam convertidas:
currencies_menu;Ви у меню налаштування валют, у які буде виконуватись конвертація. Оберіть літеру, з якої починається код потрібної вам валюти:;You are in the setup menu where you can select the currencies to convert. Select the letter that begins the code of the currency you need:;Вы в меню настройки валют, в которые будет выполняться конвертация. Выберите букву, с которой начинается код нужной вам валюты:;Znajdujesz się w menu do ustawiania walut, na które będzie dokonywane przeliczanie. Wybierz literę, od której zaczyna się kod właściwej waluty:;Вы ў меню настройкі валют, у якія будзе выконвацца канверсаванне. Выберыце літару, з якой пачынаецца код патрэбнай вам валюты:;Sie befinden sich im Menü zur Einstellung der Währungen, in die umgerechnet werden soll. Wählen Sie den Anfangsbuchstaben des Codes der Währung, in die Sie umrechnen möchten:;Placeholder;Você está no menu de configuração onde poderá selecionar quais moedas serão convertidas. Escolha a letra que começa o código da moeda que desejar:
letter_menu;Налаштуйте валюти для конвертації:;Configure currencies for converting:;Настройте валюты для конвертации:;Ustaw waluty do przeliczenia:;Наладзьце валюты для канверсавання:;Richten Sie die umzustellenden Währungen ein:;Placeholder;Configure as moedas para conversão:
